2024_11_03_T21:28:01 -  finished initateHouses in 0.5120880603790283 seconds
2024_11_03_T21:28:02 -  finished initiateHouseholds in 0.6597568988800049 seconds
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
2024_11_03_T21:28:02 -  All houses for rental were assigned in Lisboa
