2024_11_23_T22:18:38 -  finished initateHouses in 0.5402159690856934 seconds
2024_11_23_T22:18:39 -  finished initiateHouseholds in 0.7763259410858154 seconds
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
2024_11_23_T22:18:39 -  All houses for rental were assigned in Amadora
