2024_10_15_T22:43:19 -  finished initateHouses in 2.024099826812744 seconds
2024_10_15_T22:43:20 -  finished initiateHouseholds in 2.720155954360962 seconds
2024_10_15_T22:43:21 -  finished assignHousesToHouseholds in 3.0996129512786865 seconds
2024_10_15_T22:43:31 -  Metrics: sum_wealth took 1.9073486328125e-6
2024_10_15_T22:43:35 -  Metrics: wealth_distribution took 7.152557373046875e-6
2024_10_15_T22:43:35 -  Metrics: money_distribution took 5.9604644775390625e-6
2024_10_15_T22:43:36 -  Metrics: size_distribution took 7.867813110351562e-6
2024_10_15_T22:43:36 -  Metrics: age_distribution took 9.059906005859375e-6
2024_10_15_T22:43:39 -  Metrics: sum_wealth took 3.314018249511719e-5
2024_10_15_T22:43:40 -  Metrics: wealth_distribution took 0.017450809478759766
2024_10_15_T22:43:40 -  Metrics: money_distribution took 0.05646085739135742
2024_10_15_T22:43:40 -  Metrics: size_distribution took 0.011857986450195312
2024_10_15_T22:43:40 -  Metrics: age_distribution took 0.00080108642578125
2024_10_15_T22:43:47 -  Model step started
2024_10_15_T22:43:47 -  clearHangingSupplies started
2024_10_15_T22:43:47 -  clearHangingSupplies took 0.01650691032409668
2024_10_15_T22:43:47 -  clearHangingRentalSupplies started
2024_10_15_T22:43:47 -  clearHangingRentalSupplies took 0.0067021846771240234
2024_10_15_T22:43:47 -  clearHouseMarket started
2024_10_15_T22:43:48 -  clearHouseMarket - first block took 0.6998589038848877
2024_10_15_T22:43:48 -  clearHouseMarket - second block took 0.3733501434326172
2024_10_15_T22:43:48 -  clearHouseMarket - third block took 0.04091787338256836
2024_10_15_T22:43:48 -  clearRentalMarket started
2024_10_15_T22:43:49 -  clearRentalMarket - first block took 0.15743589401245117
2024_10_15_T22:43:49 -  clearRentalMarket - second block took 2.193450927734375e-5
2024_10_15_T22:43:49 -  Pushed house into housesBuiltPerRegion (location,size) = (Odivelas, LessThan75)
2024_10_15_T22:43:49 -  Pushed house into housesBuiltPerRegion (location,size) = (Sintra, LessThan75)
2024_10_15_T22:43:49 -  Pushed house into housesBuiltPerRegion (location,size) = (Sintra, LessThan50)
2024_10_15_T22:43:49 -  Pushed house into housesBuiltPerRegion (location,size) = (Sesimbra, More)
2024_10_15_T22:43:49 -  Model step took 2.5240440368652344 seconds
2024_10_15_T22:43:49 -  Metrics: sum_wealth took 7.796287536621094e-5
2024_10_15_T22:43:49 -  Metrics: wealth_distribution took 0.00037384033203125
2024_10_15_T22:43:49 -  Metrics: money_distribution took 0.0004169940948486328
2024_10_15_T22:43:49 -  Metrics: size_distribution took 0.00033283233642578125
2024_10_15_T22:43:49 -  Metrics: age_distribution took 0.00035500526428222656
2024_10_15_T22:43:54 -  Model step started
2024_10_15_T22:43:54 -  clearHangingSupplies started
2024_10_15_T22:43:54 -  clearHangingSupplies took 0.00021004676818847656
2024_10_15_T22:43:54 -  clearHangingRentalSupplies started
2024_10_15_T22:43:54 -  clearHangingRentalSupplies took 1.5020370483398438e-5
2024_10_15_T22:43:54 -  clearHouseMarket started
2024_10_15_T22:43:55 -  clearHouseMarket - first block took 0.49298691749572754
2024_10_15_T22:43:55 -  clearHouseMarket - second block took 0.004157066345214844
2024_10_15_T22:43:55 -  clearHouseMarket - third block took 0.0004980564117431641
2024_10_15_T22:43:55 -  clearRentalMarket started
2024_10_15_T22:43:55 -  clearRentalMarket - first block took 0.00012493133544921875
2024_10_15_T22:43:55 -  clearRentalMarket - second block took 6.9141387939453125e-6
2024_10_15_T22:43:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Cascais, LessThan50)
2024_10_15_T22:43:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Setubal, LessThan50)
2024_10_15_T22:43:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Setubal, LessThan75)
2024_10_15_T22:43:55 -  Model step took 0.5613298416137695 seconds
2024_10_15_T22:43:55 -  Metrics: sum_wealth took 3.504753112792969e-5
2024_10_15_T22:43:55 -  Metrics: wealth_distribution took 0.0003170967102050781
2024_10_15_T22:43:55 -  Metrics: money_distribution took 0.0003600120544433594
2024_10_15_T22:43:55 -  Metrics: size_distribution took 0.0011968612670898438
2024_10_15_T22:43:55 -  Metrics: age_distribution took 0.0004439353942871094
2024_10_15_T22:44:00 -  Model step started
2024_10_15_T22:44:00 -  clearHangingSupplies started
2024_10_15_T22:44:00 -  clearHangingSupplies took 0.00017309188842773438
2024_10_15_T22:44:00 -  clearHangingRentalSupplies started
2024_10_15_T22:44:00 -  clearHangingRentalSupplies took 6.198883056640625e-6
2024_10_15_T22:44:00 -  clearHouseMarket started
2024_10_15_T22:44:01 -  clearHouseMarket - first block took 0.4671449661254883
2024_10_15_T22:44:01 -  clearHouseMarket - second block took 0.0010099411010742188
2024_10_15_T22:44:01 -  clearHouseMarket - third block took 0.00025391578674316406
2024_10_15_T22:44:01 -  clearRentalMarket started
2024_10_15_T22:44:01 -  clearRentalMarket - first block took 3.3855438232421875e-5
2024_10_15_T22:44:01 -  clearRentalMarket - second block took 4.76837158203125e-6
2024_10_15_T22:44:01 -  Pushed house into housesBuiltPerRegion (location,size) = (Lisboa, LessThan75)
2024_10_15_T22:44:01 -  Pushed house into housesBuiltPerRegion (location,size) = (Seixal, LessThan75)
2024_10_15_T22:44:01 -  Model step took 0.5169520378112793 seconds
2024_10_15_T22:44:01 -  Metrics: sum_wealth took 4.1961669921875e-5
2024_10_15_T22:44:01 -  Metrics: wealth_distribution took 0.0005829334259033203
2024_10_15_T22:44:01 -  Metrics: money_distribution took 0.0004451274871826172
2024_10_15_T22:44:01 -  Metrics: size_distribution took 0.0003459453582763672
2024_10_15_T22:44:01 -  Metrics: age_distribution took 0.0003771781921386719
2024_10_15_T22:44:06 -  Model step started
2024_10_15_T22:44:06 -  clearHangingSupplies started
2024_10_15_T22:44:06 -  clearHangingSupplies took 0.00021600723266601562
2024_10_15_T22:44:06 -  clearHangingRentalSupplies started
2024_10_15_T22:44:06 -  clearHangingRentalSupplies took 1.5020370483398438e-5
2024_10_15_T22:44:06 -  clearHouseMarket started
2024_10_15_T22:44:06 -  clearHouseMarket - first block took 0.4240231513977051
2024_10_15_T22:44:06 -  clearHouseMarket - second block took 0.004651069641113281
2024_10_15_T22:44:06 -  clearHouseMarket - third block took 0.0002818107604980469
2024_10_15_T22:44:06 -  clearRentalMarket started
2024_10_15_T22:44:06 -  clearRentalMarket - first block took 2.8133392333984375e-5
2024_10_15_T22:44:06 -  clearRentalMarket - second block took 8.106231689453125e-6
2024_10_15_T22:44:06 -  Pushed house into housesBuiltPerRegion (location,size) = (Amadora, LessThan125)
2024_10_15_T22:44:06 -  Pushed house into housesBuiltPerRegion (location,size) = (Seixal, LessThan125)
2024_10_15_T22:44:06 -  Pushed house into housesBuiltPerRegion (location,size) = (Setubal, LessThan125)
2024_10_15_T22:44:06 -  Model step took 0.469876766204834 seconds
2024_10_15_T22:44:06 -  Metrics: sum_wealth took 6.008148193359375e-5
2024_10_15_T22:44:06 -  Metrics: wealth_distribution took 0.0004050731658935547
2024_10_15_T22:44:06 -  Metrics: money_distribution took 0.0003609657287597656
2024_10_15_T22:44:06 -  Metrics: size_distribution took 0.00030517578125
2024_10_15_T22:44:06 -  Metrics: age_distribution took 0.00032210350036621094
2024_10_15_T22:44:12 -  Model step started
2024_10_15_T22:44:12 -  clearHangingSupplies started
2024_10_15_T22:44:12 -  clearHangingSupplies took 0.015136003494262695
2024_10_15_T22:44:12 -  clearHangingRentalSupplies started
2024_10_15_T22:44:12 -  clearHangingRentalSupplies took 2.1457672119140625e-6
2024_10_15_T22:44:12 -  clearHouseMarket started
2024_10_15_T22:44:13 -  clearHouseMarket - first block took 0.5081360340118408
2024_10_15_T22:44:13 -  clearHouseMarket - second block took 0.10689091682434082
2024_10_15_T22:44:13 -  clearHouseMarket - third block took 0.00023984909057617188
2024_10_15_T22:44:13 -  clearRentalMarket started
2024_10_15_T22:44:13 -  clearRentalMarket - first block took 0.13995003700256348
2024_10_15_T22:44:13 -  clearRentalMarket - second block took 0.08015799522399902
2024_10_15_T22:44:13 -  Pushed house into housesBuiltPerRegion (location,size) = (Lisboa, LessThan75)
2024_10_15_T22:44:13 -  Pushed house into housesBuiltPerRegion (location,size) = (VilaFrancaDeXira, LessThan50)
2024_10_15_T22:44:13 -  Pushed house into housesBuiltPerRegion (location,size) = (Alcochete, More)
2024_10_15_T22:44:13 -  Pushed house into housesBuiltPerRegion (location,size) = (Almada, LessThan50)
2024_10_15_T22:44:13 -  Pushed house into housesBuiltPerRegion (location,size) = (Palmela, More)
2024_10_15_T22:44:13 -  Pushed house into housesBuiltPerRegion (location,size) = (Seixal, LessThan125)
2024_10_15_T22:44:13 -  Pushed house into housesBuiltPerRegion (location,size) = (Seixal, LessThan75)
2024_10_15_T22:44:13 -  Model step took 0.9217438697814941 seconds
2024_10_15_T22:44:13 -  Metrics: sum_wealth took 5.793571472167969e-5
2024_10_15_T22:44:13 -  Metrics: wealth_distribution took 0.0004439353942871094
2024_10_15_T22:44:13 -  Metrics: money_distribution took 0.00046896934509277344
2024_10_15_T22:44:13 -  Metrics: size_distribution took 0.0003631114959716797
2024_10_15_T22:44:13 -  Metrics: age_distribution took 0.0003819465637207031
2024_10_15_T22:44:20 -  Model step started
2024_10_15_T22:44:20 -  clearHangingSupplies started
2024_10_15_T22:44:20 -  clearHangingSupplies took 0.00023508071899414062
2024_10_15_T22:44:20 -  clearHangingRentalSupplies started
2024_10_15_T22:44:20 -  clearHangingRentalSupplies took 4.0531158447265625e-6
2024_10_15_T22:44:20 -  clearHouseMarket started
2024_10_15_T22:44:20 -  clearHouseMarket - first block took 0.49634790420532227
2024_10_15_T22:44:20 -  clearHouseMarket - second block took 0.0022439956665039062
