2024_10_06_T22:37:20 -  finished initateHouses in 0.7367570400238037 seconds
2024_10_06_T22:37:21 -  finished initiateHouseholds in 1.016171932220459 seconds
2024_10_06_T22:37:21 -  finished assignHousesToHouseholds in 1.209014892578125 seconds
2024_10_06_T22:37:25 -  Metrics: sum_wealth took 9.5367431640625e-7
2024_10_06_T22:37:26 -  Metrics: wealth_distribution took 5.0067901611328125e-6
2024_10_06_T22:37:26 -  Metrics: money_distribution took 5.0067901611328125e-6
2024_10_06_T22:37:26 -  Metrics: size_distribution took 5.0067901611328125e-6
2024_10_06_T22:37:26 -  Metrics: age_distribution took 6.9141387939453125e-6
2024_10_06_T22:37:28 -  Metrics: sum_wealth took 6.604194641113281e-5
2024_10_06_T22:37:28 -  Metrics: wealth_distribution took 0.013546943664550781
2024_10_06_T22:37:28 -  Metrics: money_distribution took 0.0008580684661865234
2024_10_06_T22:37:28 -  Metrics: size_distribution took 0.008333921432495117
2024_10_06_T22:37:28 -  Metrics: age_distribution took 0.0007710456848144531
2024_10_06_T22:37:33 -  Model step started
2024_10_06_T22:37:33 -  clearHangingSupplies started
2024_10_06_T22:37:33 -  clearHangingSupplies took 0.0050830841064453125
2024_10_06_T22:37:33 -  clearHangingRentalSupplies started
2024_10_06_T22:37:33 -  clearHangingRentalSupplies took 0.012429952621459961
2024_10_06_T22:37:33 -  clearHouseMarket started
2024_10_06_T22:37:33 -  clearHouseMarket - first block took 0.5498239994049072
2024_10_06_T22:37:34 -  clearHouseMarket - second block took 0.2561321258544922
2024_10_06_T22:37:34 -  clearHouseMarket - third block took 0.013427972793579102
2024_10_06_T22:37:34 -  clearRentalMarket started
2024_10_06_T22:37:34 -  clearRentalMarket - first block took 0.30417490005493164
2024_10_06_T22:37:34 -  clearRentalMarket - second block took 0.03530001640319824
2024_10_06_T22:37:34 -  Pushed house into housesBuiltPerRegion (location,size) = (Lisboa, LessThan50)
2024_10_06_T22:37:34 -  Pushed house into housesBuiltPerRegion (location,size) = (Loures, LessThan75)
2024_10_06_T22:37:34 -  Pushed house into housesBuiltPerRegion (location,size) = (Odivelas, More)
2024_10_06_T22:37:34 -  Pushed house into housesBuiltPerRegion (location,size) = (VilaFrancaDeXira, LessThan75)
2024_10_06_T22:37:34 -  Pushed house into housesBuiltPerRegion (location,size) = (Seixal, LessThan125)
2024_10_06_T22:37:34 -  Model step took 1.518401861190796 seconds
2024_10_06_T22:37:34 -  Metrics: sum_wealth took 0.00010585784912109375
2024_10_06_T22:37:34 -  Metrics: wealth_distribution took 0.0008738040924072266
2024_10_06_T22:37:34 -  Metrics: money_distribution took 0.0013589859008789062
2024_10_06_T22:37:34 -  Metrics: size_distribution took 0.0007829666137695312
2024_10_06_T22:37:34 -  Metrics: age_distribution took 0.0007658004760742188
2024_10_06_T22:37:38 -  Model step started
2024_10_06_T22:37:38 -  clearHangingSupplies started
2024_10_06_T22:37:38 -  clearHangingSupplies took 0.017728090286254883
2024_10_06_T22:37:38 -  clearHangingRentalSupplies started
2024_10_06_T22:37:38 -  clearHangingRentalSupplies took 7.009506225585938e-5
2024_10_06_T22:37:38 -  clearHouseMarket started
2024_10_06_T22:37:39 -  clearHouseMarket - first block took 0.49761486053466797
2024_10_06_T22:37:39 -  clearHouseMarket - second block took 0.0054819583892822266
2024_10_06_T22:37:39 -  clearHouseMarket - third block took 0.0003628730773925781
2024_10_06_T22:37:39 -  clearRentalMarket started
2024_10_06_T22:37:39 -  clearRentalMarket - first block took 0.028961896896362305
2024_10_06_T22:37:39 -  clearRentalMarket - second block took 0.0005970001220703125
2024_10_06_T22:37:39 -  Pushed house into housesBuiltPerRegion (location,size) = (Amadora, LessThan125)
2024_10_06_T22:37:39 -  Pushed house into housesBuiltPerRegion (location,size) = (VilaFrancaDeXira, LessThan125)
2024_10_06_T22:37:39 -  Pushed house into housesBuiltPerRegion (location,size) = (Alcochete, LessThan50)
2024_10_06_T22:37:39 -  Pushed house into housesBuiltPerRegion (location,size) = (Almada, LessThan75)
2024_10_06_T22:37:39 -  Pushed house into housesBuiltPerRegion (location,size) = (Montijo, LessThan50)
2024_10_06_T22:37:39 -  Pushed house into housesBuiltPerRegion (location,size) = (Palmela, LessThan75)
2024_10_06_T22:37:39 -  Model step took 0.5837481021881104 seconds
2024_10_06_T22:37:39 -  Metrics: sum_wealth took 0.0001399517059326172
2024_10_06_T22:37:39 -  Metrics: wealth_distribution took 0.0007510185241699219
2024_10_06_T22:37:39 -  Metrics: money_distribution took 0.0007121562957763672
2024_10_06_T22:37:39 -  Metrics: size_distribution took 0.0006649494171142578
2024_10_06_T22:37:39 -  Metrics: age_distribution took 0.0006570816040039062
2024_10_06_T22:37:42 -  Model step started
2024_10_06_T22:37:42 -  clearHangingSupplies started
2024_10_06_T22:37:42 -  clearHangingSupplies took 0.00021386146545410156
2024_10_06_T22:37:42 -  clearHangingRentalSupplies started
2024_10_06_T22:37:42 -  clearHangingRentalSupplies took 5.984306335449219e-5
2024_10_06_T22:37:42 -  clearHouseMarket started
2024_10_06_T22:37:43 -  clearHouseMarket - first block took 0.4840221405029297
2024_10_06_T22:37:43 -  clearHouseMarket - second block took 0.009923934936523438
2024_10_06_T22:37:43 -  clearHouseMarket - third block took 0.0003409385681152344
2024_10_06_T22:37:43 -  clearRentalMarket started
2024_10_06_T22:37:43 -  clearRentalMarket - first block took 0.05832695960998535
2024_10_06_T22:37:43 -  clearRentalMarket - second block took 0.0008039474487304688
2024_10_06_T22:37:43 -  Pushed house into housesBuiltPerRegion (location,size) = (Sintra, LessThan75)
2024_10_06_T22:37:43 -  Pushed house into housesBuiltPerRegion (location,size) = (Sesimbra, More)
2024_10_06_T22:37:43 -  Model step took 0.5830130577087402 seconds
2024_10_06_T22:37:43 -  Metrics: sum_wealth took 0.00010204315185546875
2024_10_06_T22:37:43 -  Metrics: wealth_distribution took 0.0008912086486816406
2024_10_06_T22:37:43 -  Metrics: money_distribution took 0.0007979869842529297
2024_10_06_T22:37:43 -  Metrics: size_distribution took 0.0006420612335205078
2024_10_06_T22:37:43 -  Metrics: age_distribution took 0.0006749629974365234
2024_10_06_T22:37:47 -  Model step started
2024_10_06_T22:37:47 -  clearHangingSupplies started
2024_10_06_T22:37:47 -  clearHangingSupplies took 0.00023603439331054688
2024_10_06_T22:37:47 -  clearHangingRentalSupplies started
2024_10_06_T22:37:47 -  clearHangingRentalSupplies took 0.00044989585876464844
2024_10_06_T22:37:47 -  clearHouseMarket started
2024_10_06_T22:37:47 -  clearHouseMarket - first block took 0.4234199523925781
2024_10_06_T22:37:47 -  clearHouseMarket - second block took 0.003390073776245117
2024_10_06_T22:37:47 -  clearHouseMarket - third block took 0.0003960132598876953
2024_10_06_T22:37:47 -  clearRentalMarket started
2024_10_06_T22:37:47 -  clearRentalMarket - first block took 0.03286385536193848
2024_10_06_T22:37:47 -  clearRentalMarket - second block took 0.00031280517578125
2024_10_06_T22:37:47 -  Pushed house into housesBuiltPerRegion (location,size) = (Odivelas, LessThan75)
2024_10_06_T22:37:47 -  Model step took 0.49619102478027344 seconds
2024_10_06_T22:37:47 -  Metrics: sum_wealth took 0.00012087821960449219
2024_10_06_T22:37:47 -  Metrics: wealth_distribution took 0.0008220672607421875
2024_10_06_T22:37:47 -  Metrics: money_distribution took 0.0008299350738525391
2024_10_06_T22:37:47 -  Metrics: size_distribution took 0.0006690025329589844
2024_10_06_T22:37:47 -  Metrics: age_distribution took 0.0008521080017089844
2024_10_06_T22:37:51 -  Model step started
2024_10_06_T22:37:51 -  clearHangingSupplies started
