2024_10_08_T22:10:42 -  finished initateHouses in 0.45014405250549316 seconds
2024_10_08_T22:10:43 -  finished initiateHouseholds in 0.5807919502258301 seconds
2024_10_08_T22:10:43 -  finished assignHousesToHouseholds in 0.7095980644226074 seconds
2024_10_08_T22:10:45 -  Metrics: sum_wealth took 9.5367431640625e-7
2024_10_08_T22:10:46 -  Metrics: wealth_distribution took 5.0067901611328125e-6
2024_10_08_T22:10:46 -  Metrics: money_distribution took 2.86102294921875e-6
2024_10_08_T22:10:46 -  Metrics: size_distribution took 3.0994415283203125e-6
2024_10_08_T22:10:46 -  Metrics: age_distribution took 4.0531158447265625e-6
2024_10_08_T22:10:47 -  Metrics: sum_wealth took 0.00014710426330566406
2024_10_08_T22:10:47 -  Metrics: wealth_distribution took 0.008181095123291016
2024_10_08_T22:10:47 -  Metrics: money_distribution took 0.0019431114196777344
2024_10_08_T22:10:47 -  Metrics: size_distribution took 0.0058269500732421875
2024_10_08_T22:10:47 -  Metrics: age_distribution took 0.0017468929290771484
2024_10_08_T22:10:53 -  Model step started
2024_10_08_T22:10:53 -  clearHangingSupplies started
2024_10_08_T22:10:53 -  clearHangingSupplies took 0.003113985061645508
2024_10_08_T22:10:53 -  clearHangingRentalSupplies started
2024_10_08_T22:10:53 -  clearHangingRentalSupplies took 0.0018711090087890625
2024_10_08_T22:10:53 -  clearHouseMarket started
2024_10_08_T22:10:54 -  clearHouseMarket - first block took 0.997452974319458
2024_10_08_T22:10:54 -  clearHouseMarket - second block took 0.15494394302368164
2024_10_08_T22:10:54 -  clearHouseMarket - third block took 0.008179903030395508
2024_10_08_T22:10:54 -  clearRentalMarket started
2024_10_08_T22:10:54 -  clearRentalMarket - first block took 0.05601811408996582
2024_10_08_T22:10:54 -  clearRentalMarket - second block took 7.152557373046875e-6
2024_10_08_T22:10:54 -  Pushed house into housesBuiltPerRegion (location,size) = (Amadora, More)
2024_10_08_T22:10:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Cascais, LessThan125)
2024_10_08_T22:10:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Lisboa, LessThan75)
2024_10_08_T22:10:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Lisboa, More)
2024_10_08_T22:10:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Loures, More)
2024_10_08_T22:10:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Loures, LessThan75)
2024_10_08_T22:10:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Mafra, More)
2024_10_08_T22:10:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Odivelas, LessThan75)
2024_10_08_T22:10:55 -  Pushed house into housesBuiltPerRegion (location,size) = (Oeiras, LessThan125)
2024_10_08_T22:10:55 -  Pushed house into housesBuiltPerRegion (location,size) = (VilaFrancaDeXira, LessThan50)
