2024_10_03_T22:40:06 -  finished initateHouses in 0.7616369724273682 seconds
2024_10_03_T22:40:07 -  finished initiateHouseholds in 1.0589349269866943 seconds
2024_10_03_T22:40:07 -  finished assignHousesToHouseholds in 1.2727510929107666 seconds
2024_10_03_T22:40:17 -  Model step started
2024_10_03_T22:40:18 -  clearHangingSupplies started
2024_10_03_T22:40:18 -  clearHangingSupplies took 0.00586700439453125
2024_10_03_T22:40:18 -  clearHangingRentalSupplies started
2024_10_03_T22:40:18 -  clearHangingRentalSupplies took 0.01230001449584961
2024_10_03_T22:40:18 -  clearHouseMarket started
2024_10_03_T22:40:18 -  clearHouseMarket - first block took 0.3411900997161865
2024_10_03_T22:40:18 -  clearHouseMarket - second block took 0.2754240036010742
2024_10_03_T22:40:18 -  clearHouseMarket - third block took 0.017674922943115234
2024_10_03_T22:40:18 -  clearRentalMarket started
2024_10_03_T22:40:18 -  clearRentalMarket - first block took 0.19052481651306152
2024_10_03_T22:40:18 -  clearRentalMarket - second block took 0.03457903861999512
