2025_02_27_T12:15:48 -  finished initateHouses in 0.0560150146484375 seconds
2025_02_27_T12:15:49 -  finished initiateHouseholds in 0.22003507614135742 seconds
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
2025_02_27_T12:15:50 -  All houses for rental were assigned in Amadora
