2025_02_27_T21:15:02 -  finished initateHouses in 0.05597996711730957 seconds
2025_02_27_T21:15:03 -  finished initiateHouseholds in 0.23100996017456055 seconds
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
2025_02_27_T21:15:03 -  All houses for rental were assigned in VilaFrancaDeXira
